domain,q_id,k,item_or_fact_id,answer_group,status,total_required_parts,hit_parts,missing_part_ids,approved_gold_candidate_chunk_ids,missing_gold_candidate_chunk_ids,retrieved_top_k_chunk_ids,relevant_document_wrong_chunk,first_relevant_rank_below_k,failure_types
evidence,Q02,10,E02,,partial,2,1,"[""P01""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P01"":[""174356ea1cdddbb4""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",False,19,multi_part_partial_hit;relevant_chunk_below_k
evidence,Q02,10,E03,,partial,2,1,"[""P01""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P01"":[""174356ea1cdddbb4""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",False,19,multi_part_partial_hit;relevant_chunk_below_k
evidence,Q02,10,E05,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""513ec1bcd5f5b923""],""P02"":[""513ec1bcd5f5b923""]}","{""P01"":[""513ec1bcd5f5b923""],""P02"":[""513ec1bcd5f5b923""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,11,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E06,,missed,1,0,"[""P01""]","{""P01"":[""a35a2f866d18fd19""]}","{""P01"":[""a35a2f866d18fd19""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,31,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E07,,missed,1,0,"[""P01""]","{""P01"":[""a35a2f866d18fd19""]}","{""P01"":[""a35a2f866d18fd19""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,31,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E08,,missed,1,0,"[""P01""]","{""P01"":[""7e29f360dd5f08f9""]}","{""P01"":[""7e29f360dd5f08f9""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,,correct_document_wrong_chunk
evidence,Q02,10,E09,,missed,1,0,"[""P01""]","{""P01"":[""c2dd3127ada7a30d""]}","{""P01"":[""c2dd3127ada7a30d""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,22,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q04,10,E01,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""a8e515879b50c710"",""2766fe681d182071"",""d432b3e48d9c75ba"",""ac434f4abb73b840"",""d2a6bad6c7c7e171"",""ddf20bff930c8c49""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q04,10,E02,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""a8e515879b50c710"",""2766fe681d182071"",""d432b3e48d9c75ba"",""ac434f4abb73b840"",""d2a6bad6c7c7e171"",""ddf20bff930c8c49""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q04,10,E03,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""a8e515879b50c710"",""2766fe681d182071"",""d432b3e48d9c75ba"",""ac434f4abb73b840"",""d2a6bad6c7c7e171"",""ddf20bff930c8c49""]",False,,relevant_document_below_k_wrong_chunk
