domain,q_id,k,total_parts,hit_parts,mean_part_recall,total_items,mean_item_coverage,all_parts_items,all_parts_rate,weighted_item_coverage,weighted_evidence_score,core_item_coverage,core_evidence_recall,zero_hit_items,answer_facts,strict_answer_facts,answer_fact_coverage,mean_answer_fact_input_coverage,answer_groups,hit_answer_groups,numeric_group_coverage,numeric_question_complete,strict_multi_input_fact_count,strict_multi_input_hit_count,strict_complete_input_retrieval_rate
numeric,Q01,1,,,,,,,,,,,,,3,0,0.0,0.0,2,0,0.0,False,1,0,0.0
numeric,Q01,3,,,,,,,,,,,,,3,0,0.0,0.0,2,0,0.0,False,1,0,0.0
numeric,Q01,5,,,,,,,,,,,,,3,0,0.0,0.0,2,0,0.0,False,1,0,0.0
numeric,Q01,10,,,,,,,,,,,,,3,0,0.0,0.0,2,0,0.0,False,1,0,0.0
numeric,Q01,20,,,,,,,,,,,,,3,0,0.0,0.0,2,0,0.0,False,1,0,0.0
numeric,Q01,50,,,,,,,,,,,,,3,3,1.0,1.0,2,2,1.0,True,1,1,1.0
evidence,Q02,1,12,0,0.0,9,0.0,0,0.0,0.0,0.0,0.0,0.0,9,,,,,,,,,,,
evidence,Q02,3,12,0,0.0,9,0.0,0,0.0,0.0,0.0,0.0,0.0,9,,,,,,,,,,,
evidence,Q02,5,12,0,0.0,9,0.0,0,0.0,0.0,0.0,0.0,0.0,9,,,,,,,,,,,
evidence,Q02,10,12,1,0.083333333333,9,0.111111111111,1,0.111111111111,0.088235294118,0.088235294118,0.0,0.0,8,,,,,,,,,,,
evidence,Q02,20,12,5,0.416666666667,9,0.333333333333,2,0.222222222222,0.352941176471,0.176470588235,0.333333333333,0.0,5,,,,,,,,,,,
evidence,Q02,50,12,11,0.916666666667,9,0.888888888889,8,0.888888888889,0.970588235294,0.970588235294,1.0,1.0,1,,,,,,,,,,,
numeric,Q03,1,,,,,,,,,,,,,2,0,0.0,0.0,1,0,0.0,False,1,0,0.0
numeric,Q03,3,,,,,,,,,,,,,2,0,0.0,0.0,1,0,0.0,False,1,0,0.0
numeric,Q03,5,,,,,,,,,,,,,2,0,0.0,0.25,1,0,0.0,False,1,0,0.0
numeric,Q03,10,,,,,,,,,,,,,2,1,0.5,0.875,1,1,1.0,True,1,0,0.0
numeric,Q03,20,,,,,,,,,,,,,2,1,0.5,0.875,1,1,1.0,True,1,0,0.0
numeric,Q03,50,,,,,,,,,,,,,2,1,0.5,0.875,1,1,1.0,True,1,0,0.0
evidence,Q04,1,10,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,,,,
evidence,Q04,3,10,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,,,,
evidence,Q04,5,10,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,,,,
evidence,Q04,10,10,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,,,,
evidence,Q04,20,10,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,,,,
evidence,Q04,50,10,2,0.2,5,0.2,0,0.0,0.125,0.0,0.0,0.0,3,,,,,,,,,,,
evidence,Q05,1,30,0,0.0,16,0.0,0,0.0,0.0,0.0,0.0,0.0,16,,,,,,,,,,,
evidence,Q05,3,30,0,0.0,16,0.0,0,0.0,0.0,0.0,0.0,0.0,16,,,,,,,,,,,
evidence,Q05,5,30,0,0.0,16,0.0,0,0.0,0.0,0.0,0.0,0.0,16,,,,,,,,,,,
evidence,Q05,10,30,0,0.0,16,0.0,0,0.0,0.0,0.0,0.0,0.0,16,,,,,,,,,,,
evidence,Q05,20,30,4,0.133333333333,16,0.15625,1,0.0625,0.159090909091,0.045454545455,0.166666666667,0.0,12,,,,,,,,,,,
evidence,Q05,50,30,25,0.833333333333,16,0.84375,12,0.75,0.886363636364,0.818181818182,1.0,1.0,1,,,,,,,,,,,
numeric,Q06,1,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,0,0,
numeric,Q06,3,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,0,0,
numeric,Q06,5,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,0,0,
numeric,Q06,10,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,0,0,
numeric,Q06,20,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,0,0,
numeric,Q06,50,,,,,,,,,,,,,1,1,1.0,1.0,1,1,1.0,True,0,0,
evidence,Q07,1,15,0,0.0,12,0.0,0,0.0,0.0,0.0,0.0,0.0,12,,,,,,,,,,,
evidence,Q07,3,15,0,0.0,12,0.0,0,0.0,0.0,0.0,0.0,0.0,12,,,,,,,,,,,
evidence,Q07,5,15,1,0.066666666667,12,0.083333333333,1,0.083333333333,0.122448979592,0.122448979592,0.2,0.2,11,,,,,,,,,,,
evidence,Q07,10,15,3,0.2,12,0.208333333333,2,0.166666666667,0.275510204082,0.244897959184,0.4,0.4,9,,,,,,,,,,,
evidence,Q07,20,15,3,0.2,12,0.208333333333,2,0.166666666667,0.275510204082,0.244897959184,0.4,0.4,9,,,,,,,,,,,
evidence,Q07,50,15,4,0.266666666667,12,0.291666666667,3,0.25,0.397959183673,0.367346938776,0.6,0.6,8,,,,,,,,,,,
numeric,Q08,1,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,1,0,0.0
numeric,Q08,3,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,1,0,0.0
numeric,Q08,5,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,1,0,0.0
