conflict_id,conflict_type,reason,accession,chunk_id,table_column,evidence_fingerprint,sampling_rule,human_conflict_classification,human_review_notes,reviewer_identity
TCF-0085d62ea0a54b7a,LINKED_XBRL_DIMENSION_CONFLICT,linked XBRL contexts disagree on dimensions,0001045810-26-000075,0f13459a6288b498,22,7f0517567ab0be1fee46c279411b161e40624ffc4bc2cd48b7f3c8233a3f5a85,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-015a72f48b665b1c,LINKED_XBRL_DIMENSION_CONFLICT,linked XBRL contexts disagree on dimensions,0001628280-26-050705,9927dbce8bb9c367,10,12e45e2730ab24d8af7a7783014429b2ec837eb1b87d03ee918b15c4d876f64b,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-03854362be7a6c42,LINKED_XBRL_DIMENSION_CONFLICT,linked XBRL contexts disagree on dimensions,0001193125-26-191507,3f6fbf09b5fe5547,22,389fc272a89cfde5cfa51c323e4b9edbc820425cb2cea65f055bdc1b6a8493b0,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-04615fb8594e46c4,LINKED_XBRL_DIMENSION_CONFLICT,linked XBRL contexts disagree on dimensions,0001193125-26-323660,122ac69024391190,3,58ed52a717a74f443910bcb8736a0492f03150a63c51068ae41dabe9bf085732,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-04a82705b2e1dd6c,LINKED_XBRL_DIMENSION_CONFLICT,linked XBRL contexts disagree on dimensions,0001628280-26-050705,6c0e16a421c72b8d,22,7d061406169dc80fa45482baabff0a12f36c1836453a8d262191fc9ae3c094fe,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-015a03e4409f7bb5,TABLE_COLUMN_PERIOD_METADATA_CONFLICT,conflicting frozen cell/header period metadata,0001045810-26-000052,9c35704b324464e8,22,c969918e7ca4db013adcf3fb0b2c002c341d136b01d981050e96ed731294f8a2,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-01c69274f749a025,TABLE_COLUMN_PERIOD_METADATA_CONFLICT,conflicting frozen cell/header period metadata,0001045810-25-000209,550256790751c6c6,3,304f3658b6978414735014dbda27167c47fffa043d4751891c180606cba869fa,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-046dc653ab478657,TABLE_COLUMN_PERIOD_METADATA_CONFLICT,conflicting frozen cell/header period metadata,0001045810-26-000075,ab5f8f07d7eb2939,28,070ff2e09e105595265c1e1884a95f204cb9afc192833c6e870dab7b3a8e7cc8,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-064ad0d48b09d064,TABLE_COLUMN_PERIOD_METADATA_CONFLICT,conflicting frozen cell/header period metadata,0001193125-26-323660,e79be49fdd5ece77,3,20f00b941e4027ff7bdbd3cce69dc945f492f4bb267a39d38f4b2cfd46eccbd5,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
TCF-0810a89a61d94b91,TABLE_COLUMN_PERIOD_METADATA_CONFLICT,conflicting frozen cell/header period metadata,0001045810-26-000052,ca8afea3d5607532,4,38067043000ee395dcac3351208d47d7230557049420b937a1ece3ac77908fc7,"group by conflict_type; sort by conflict_id; select first min(5, group_size)",APPROVE CLASSIFICATION,APPROVE FAIL-CLOSED HANDLING,
